GW,player_id,name,position,team,value,opponent_display,is_home_display,num_fixtures,predicted_points
32,954,Mykhailo Mudryk,mid,Chelsea,70,Man City (DGW),0 (DGW),2,2.3
32,921,Michael Golding,mid,Leicester,45,Crystal Palace,1,1,2.29
32,1189,Stephy Mavididi,mid,Leicester,55,Crystal Palace,1,1,2.29
32,494,Illia Zabarnyi,def,Bournemouth,45,Fulham,1,1,2.28
32,799,Luis Diaz,mid,Liverpool,80,Newcastle,0,1,2.28
32,909,Max Alleyne,def,Man City,40,Everton,1,1,2.28
32,16,Adam Smith,def,Bournemouth,45,Fulham,1,1,2.26
32,856,Marcus Tavernier,mid,Bournemouth,50,Fulham,1,1,2.25
32,906,Matz Sels,gk,Nottingham Forest,45,Liverpool,0,1,2.25
32,767,Lewis Dunk,def,Brighton,45,Leicester,1,1,2.23
32,832,Maldini Kacurri,def,Arsenal,40,Brentford,1,1,2.23
32,1050,Philip Billing,mid,Bournemouth,55,Fulham,1,1,2.23
32,532,Jacob Ramsey,mid,Aston Villa,55,Southampton,0,1,2.22
32,1177,Simon Adingra,mid,Brighton,50,Leicester,1,1,2.22
32,52,Ali Al-Hamadi,fwd,Ipswich,50,Brighton,0,1,2.2
32,589,Jean-Philippe Mateta,fwd,Crystal Palace,55,Nott'm Forest,0,1,2.17
32,225,Chiedozie Ogbene,mid,Ipswich,50,Brighton,0,1,2.16
32,512,Jack Clarke,mid,Ipswich,55,Brighton,0,1,2.16
32,1295,Will Alves,mid,Leicester,45,Crystal Palace,1,1,2.16
32,718,Kepa Arrizabalaga,gk,Chelsea,45,Fulham,1,1,2.13
32,182,Callum Bates,mid,Everton,45,Bournemouth,0,1,2.1
32,152,Bilal El Khannouss,mid,Leicester,50,Crystal Palace,1,1,2.09
32,224,Chido Obi-Martin,fwd,Man United,45,Aston Villa,1,1,2.09
32,594,Jens Cajuste,mid,Ipswich,45,Brighton,0,1,2.08
32,649,John Stones,def,Man City,55,Everton,1,1,2.08
32,983,Nico Gonzalez,mid,Man City,60,Everton,1,1,2.08
32,938,Miodrag Pivas,def,Newcastle,40,Wolves,0,1,2.06
32,1119,Ryan Christie,mid,Bournemouth,55,Fulham,1,1,2.05
32,1047,Pervis Estupinan,def,Brighton,45,Leicester,1,1,2.04
32,627,Joe Knight,mid,Brighton,45,Leicester,1,1,2.03
32,1080,Riccardo Calafiori,def,Arsenal,60,Brentford,1,1,2.03
32,232,Christian Eriksen,mid,Man United,65,Aston Villa,1,1,2.02
32,576,Jarrad Branthwaite,def,Everton,40,Bournemouth,0,1,2.02
32,111,Ashley Young,def,Aston Villa,45,Bournemouth,0,1,2.01
32,933,Mikel Merino,mid,Arsenal,60,Brentford,1,1,2.01
32,536,Jaden Philogene-Bidace,mid,Aston Villa,55,Brighton,0,1,2
32,1139,Sam Szmodics,mid,Ipswich,60,Brighton,0,1,2
32,35,Alex Moreno Lopera,def,Aston Villa,45,Liverpool,0,1,1.98
32,1322,Youri Tielemans,mid,Leicester,65,Southampton,0,1,1.98
32,471,Harvey Elliott,mid,Liverpool,50,Newcastle,0,1,1.97
32,612,Joao Cavaco Cancelo,def,Man City,55,Everton,1,1,1.97
32,1175,Shumaira Mheuka,fwd,Chelsea,45,Man City (DGW),0 (DGW),2,1.97
32,250,Conor Bradley,def,Liverpool,40,Newcastle,0,1,1.96
32,488,Idrissa Gueye,mid,Everton,50,Bournemouth,0,1,1.95
32,1275,Vitalii Mykolenko,def,Everton,45,Bournemouth,0,1,1.95
32,22,Adrian Mazilu,mid,Brighton,45,Leicester,1,1,1.94
32,92,Antoine Semenyo,mid,Bournemouth,55,Fulham,1,1,1.94
32,346,Eiran Cashin,def,Brighton,45,Leicester,1,1,1.93
32,538,Jadon Sancho,mid,Man United,75,Man City (DGW),0 (DGW),2,1.93
32,1200,Taiwo Awoniyi,fwd,Nottingham Forest,60,Liverpool,0,1,1.93
32,183,Callum Hudson-Odoi,mid,Chelsea,55,Liverpool,0,1,1.92
32,570,Jamie Vardy,fwd,Leicester,95,Crystal Palace,1,1,1.92
32,1180,Solly March,mid,Brighton,50,Leicester,1,1,1.92
32,199,Carlos Alcaraz Duran Duran,mid,Southampton,50,Bournemouth,0,1,1.91
32,1256,Tyler Morton,mid,Liverpool,45,Newcastle,0,1,1.91
32,201,Carlos Henrique Casimiro,mid,Man United,50,Aston Villa,1,1,1.89
32,667,Joseph Gomez,def,Liverpool,45,Newcastle,0,1,1.89
32,823,Mads Hermansen,gk,Leicester,45,Crystal Palace,1,1,1.89
32,873,Matai Akinmboni,def,Bournemouth,40,Fulham,1,1,1.89
32,1242,Tony Yogane,mid,Brentford,45,Arsenal,0,1,1.89
32,985,Nicolas Dominguez,mid,Nottingham Forest,50,Liverpool,0,1,1.88
32,504,Issa Diop,def,West Ham,45,Chelsea,0,1,1.87
32,539,Jahmai Simpson-Pusey,def,Man City,40,Everton,1,1,1.87
32,687,Julian Araujo Zuniga,def,Bournemouth,45,Fulham,1,1,1.87
32,508,Ivan Toney,fwd,Brentford,70,Arsenal,0,1,1.86
32,117,Ayden Heaven,def,Arsenal,40,Aston Villa,1,1,1.85
32,314,Diego Gomez,mid,Brighton,55,Leicester,1,1,1.84
32,126,Ben Broggio,mid,Aston Villa,45,Southampton,0,1,1.83
32,495,Imari Samuels,def,Brighton,40,Leicester,1,1,1.83
32,1039,Pau Torres,def,Aston Villa,45,Southampton,0,1,1.83
32,332,Donyell Malen,mid,Aston Villa,55,Southampton,0,1,1.82
32,1226,Tim Ream,def,Fulham,45,Chelsea,0,1,1.82
32,141,Ben Winterburn,mid,Bournemouth,45,Fulham,1,1,1.81
32,639,Joel Veltman,def,Brighton,45,Leicester,1,1,1.81
32,543,Jakub Kiwior,def,Arsenal,40,Brentford,1,1,1.8
32,648,John Ruddy,gk,Newcastle,40,Wolves,0,1,1.8
32,9,Abdukodir Khusanov,def,Man City,50,Everton,1,1,1.79
32,109,Asher Agbinone,mid,Crystal Palace,45,Nott'm Forest,0,1,1.79
32,519,Jack Moorhouse,mid,Man United,45,Aston Villa,1,1,1.79
32,690,Julio Soler,def,Bournemouth,40,Fulham,1,1,1.79
32,865,Martin Dubravka,gk,Newcastle,45,Wolves,0,1,1.79
32,62,Amadou Onana,mid,Everton,50,Southampton,0,1,1.77
32,369,Enzo Barrenechea,mid,Aston Villa,50,Southampton,0,1,1.77
32,392,Facundo Buonanotte,mid,Brighton,45,Crystal Palace,1,1,1.77
32,1331,Zain Silcott-Duberry,mid,Bournemouth,45,Fulham,1,1,1.77
32,164,Brajan Gruda,mid,Brighton,55,Leicester,1,1,1.76
32,762,Levi Colwill,def,Brighton,45,Man City (DGW),0 (DGW),2,1.75
32,895,Matt O'Riley,mid,Brighton,55,Leicester,1,1,1.75
32,1231,Tom Cairney,mid,Fulham,50,Chelsea,0,1,1.75
32,408,Francisco Evanilson de Lima Barbosa,fwd,Bournemouth,60,Fulham,1,1,1.73
32,433,Georginio Rutter,mid,Brighton,55,Leicester,1,1,1.73
32,1058,Ramon Sosa,mid,Nottingham Forest,55,Liverpool,0,1,1.73
32,1136,Sam Morsy,mid,Ipswich,50,Brighton,0,1,1.72
32,1270,Victor Lindelof,def,Man United,45,Aston Villa,1,1,1.72
32,1285,Wes Burns,mid,Ipswich,50,Brighton,0,1,1.71
32,1313,Yankuba Minteh,mid,Brighton,55,Leicester,1,1,1.71
32,1033,Paris Maghoma,mid,Brentford,45,Arsenal,0,1,1.7
32,1088,Robert Sanchez,gk,Brighton,45,Man City (DGW),0 (DGW),2,1.69
32,10,Abdul Fatawu,mid,Leicester,55,Crystal Palace,1,1,1.68
32,418,Gabriel Fernando de Jesus,fwd,Arsenal,80,Brentford,1,1,1.68
32,439,Godwill Kukonki,def,Man United,40,Aston Villa,1,1,1.67
32,814,Luke Shaw,def,Man United,50,Aston Villa,1,1,1.67
32,1321,Yoane Wissa,fwd,Brentford,55,Arsenal,0,1,1.67
32,78,Andrew Robertson,def,Liverpool,70,Newcastle,0,1,1.66
32,953,Murillo Santiago Costa dos Santos,def,Nottingham Forest,45,Liverpool,0,1,1.66
32,1186,Stefan Bajcetic Maquieira,mid,Liverpool,45,Newcastle,0,1,1.66
32,520,Jack Porter,gk,Arsenal,40,Brentford,1,1,1.65
32,780,Lloyd Kelly,def,Bournemouth,45,Wolves,0,1,1.65
32,872,Massimo Luongo,mid,Ipswich,45,Brighton,0,1,1.65
32,1015,Omar Marmoush,fwd,Man City,70,Everton,1,1,1.64
32,1201,Takehiro Tomiyasu,def,Arsenal,45,Brentford,1,1,1.63
32,95,Antony Matheus dos Santos,mid,Man United,75,Aston Villa,1,1,1.62
32,179,Caleb Okoli,def,Leicester,40,Crystal Palace,1,1,1.62
32,278,Daniel Munoz,def,Crystal Palace,45,Nott'm Forest,0,1,1.62
32,1164,Sekou Kone,mid,Man United,45,Aston Villa,1,1,1.62
32,678,Josh Nichols,def,Arsenal,40,Brentford,1,1,1.61
